Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,-1,"DATA SCIENCE
The ideal candidate willing to be Trained as a Trainee then apply
-IF YOUR ARE EXPEREINCED WE DONT REQUIRE YOUR APPLICATION , PLEASE DO NOT CALL OR APPLY
Get company specific training on multiple domains Advance ML Dl etc
Collaborate with Data Science & Data Engineering teams to develop data products and solutions
Work closely with the business to understand problems and translate into analytical solutions
Build and validate robust advanced machine learning/ ML models
Build end-to-end machine learning (ML) pipelines in production environments
Work with large, complex data sets coming from disparate sources of client db
Required Education Technical and Professional Expertise
2017/18/19/20 passouts only apply no professional experience knowledge in programming (including scripting or coding), SQL and relational databases, and application development.
good knowhow to design, develop and configure automation bots that can meet Operations need and are in-line with client requirements Training is mandatory
Contact on whats app Mr Saurabh Agarwal on 9116076002",1.0,"Workoopolis
1.0",Jaipur,"Mumbai, India",501 to 1000 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,-1,"What You Should Expect

To ride the wave of AI/ML with deeply enmeshed Operations Research and Mathematics to make real impact in the world of Supply Chain Planning, Retail and Execution.

What your work will be

» Develop and operate solutions that optimize and automate business decisions using large data sets and algorithms

» Work with complex data analysis, data preparation and developing prognostic models based on modern statistical methods

» Develop a deep understanding of retail and supply chain problems

» Write productive software that generates value for our customers

Apply if you have

» Good understanding and insight of Machine Learning Techniques – Supervised, Unsupervised or Semi-Supervised

» Passion for writing software with emphasis on quality, testability and automation

» Experience in building machine learning models or optimization software to solve business problems

» Ability to communicate and contextualize results

We believe that the individuality and diversity of our employees make a decisive

contribution to our success. Our hiring process is based on qualifications and career profile.

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out JDA's blog - Supply Chain Nation - the platform for supply chain trends and innovations.",4.3,"Blue Yonder
4.3",Bengaluru,"Scottsdale, AZ",5001 to 10000 employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹100 to ₹500 billion (INR),"SAP, Oracle, Manhattan Associates"
Data Scientist,-1,"OVERVIEW OF THE COMPANY

StarStar India has defined the Indian media landscape for over two decades and today is one of the country’s leading media conglomerates, reaching approximately 650 million viewers a month across India and more than 100 other countries. Star generates 20,000 hours of content every year and broadcasts 40+ channels in 8 different languages, reaching 9 out of 10 C&S TV homes in India. The network’s entertainment channel portfolio includes Star Gold, Channel V, Star World, Star Movies, Star Utsav, Life OK, Movies OK and Star Plus, India's No. 1 Hindi General Entertainment Channel. It has a leading presence in regional broadcasting as well, through a bouquet of affiliate channels which includes Star Jalsha, Jalsha Movies, Star Pravah, Asianet, Asianet Plus, Suvarna, Suvarna Plus, Vijay and now Maa. It is also present in the Indian movie production and distribution space through Fox Star Studios, an affiliate joint venture company.
JOB DESCRIPTION


KEY RESPONSIBILITIES :
Using techniques from supervised and unsupervised machine learning, statistical analysis and predictive modelling to deliver business insights to business units based on data
Working directly with internal customers to educate them on “moving beyond BI” and training their internal resources to execute advanced forms of analytics
Creating reusable implementations of statistical tests and models using cutting edge technologies
Working with the academic and business community to develop new techniques and to contribute to research in the area of advanced analytics in media
Assisting in engagement management, requirements definition, project scoping, timeline management, and results documentation to ensure professional relationship management
PERFORMANCE MEASURES :
As per role KPIs
QUALIFICATION :
2-8 Years plus post qualification
Degree in computer science with a machine learning focus (other technical degrees also accepted e.g. applied mathematics, statistics, physics, operations research). PhD will be desirable.
KNOWLEDGE AND SKILLS :
Advanced knowledge of statistical and machine learning methods, particularly in the areas of modelling and business analytics
Strong programming skills
Experience with statistical languages and packages, such as R, SAS, Mat-Lab, and/or Mahout
Experience working with relational databases and/or distributed computing platforms, and their query interfaces, such as SQL, MapReduce and Hive.
Experience with additional programming languages, such as Python, Java, and C/C++.
Excellent written and verbal communications skills, with a proven ability to translate complex methodologies and analytical results to higher-level business insights and key take-away
A proven passion for generating insights from data, with a strong familiarity with the higher-level trends in data growth, open-source platforms, and public data sets.
Experience working hands-on with large-scale data sets
Familiarity with visualization software and techniques (including Tableau), and business intelligence (BI) software, such as Micro-strategy, Cognos, Pentaho, etc.
PERSONAL ATTRIBUTES :
Creative, gritty, driven by curiosity and comfortable with failure
Strong Data intuition: Talent to identify and visualize patterns
Multi Modal Communication skills
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, gender identity, disability, protected veteran status, or any other characteristic protected by law. We will consider for employment qualified applicants with criminal histories consistent with applicable law.",3.8,"Star TV Network
3.8",Mumbai,"Mumbai, India",1001 to 5000 employees,1991,Company - Private,TV Broadcasting & Cable Networks,Media,Unknown / Non-Applicable,-1
Data Scientist,-1,"Overview


We have an exciting opportunity for a Data Scientist to join our dynamic AI Development team. This permanent position is well suited to an individual that is looking to advance their career in Python / R / Java Programming and gain hands-on experience in a thriving and supportive workplace.

Responsibilities


Objectives: 
Primary focus on applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
Ability to manage time and follow guidelines and processes.
Procedures: 
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
 Selecting features, building and optimizing classifiers using machine learning techniques
 Once the data source has been identified, mine and analyse data to drive optimization and improvement of product development, marketing techniques and business strategies.
 Enhancing data collection procedures to include information that is relevant for building analytic systems
 Design and review data collection procedures for regulatory compliance.
 Develop custom data models and algorithms to apply to data sets.
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with SAS programming and Statistics teams
 Develop company A/B testing framework and test model quality.
 Develop processes and tools to monitor and analyse model performance and data accuracy.
 Raise awareness with other team on Data Science techniques and approaches.
 Have a good understanding of ICH/GCP guidelines.
 Follow appropriate Project Management procedures.
 Communicate effectively with project team.
Key Contacts/Relationships (Internal & External):

Internal:Work closely with other project team members, mentor and line manager.

External:Under supervision, may have limited interaction with internal clients to complete various programming activities. To fulfil this role, the Data Scientist supported by AI team members, may be required to participate in project team meetings and be responsive on an ad-hoc basis.

Qualifications
Qualified to degree level or equivalent, preferably in a numerate discipline
Good knowledge on statistics.
5 years of experience on Programming / Data Science Industry and minimum 2 year as Data Scientist",4.0,"Quanticate
4.0",Bengaluru,"Hitchin, United Kingdom",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹1 to ₹5 billion (INR),"GCE Solutions, Parexel, IQVIA"
Data Scientist,-1,"Amazon strives to be Earth's most customer-centric company where people can find and discover anything they want to buy online. We hire the world's brightest minds, offering them a fast paced, technologically sophisticated, and friendly work environment.

The FinAuto Data Engineering and Analytics team, part of Finance Automation Org focuses on the application of machine learning methods designed to enable Amazon to increase free cash flow by optimizing spend, expense, payroll defects. All of this work is performed in close coordination with senior business leaders. These are exciting fast-paced businesses in which we get to work on extremely interesting analytical problems, in an environment where you get to learn from other data engineers and apply econometric, statistics, and machine learning at massive scale.
As a member of the FinAuto Data Engineering and Analytics team, you will partner closely with a team of stake holders, payment teams, data engineers and software engineers.
In this role you will:
· Work with data engineers to design and implement machine learning applications and solutions.
· Implement and maintain a high-volume, highly available, hybrid (SQL + No SQL) data processing solutions that consists of structured and semi-structured data.
· Design and implement a very large distributed data warehousing and reporting solution and integrate it with business intelligence tools



Basic Qualifications

· 5+ years of experience in software development of large-scale data infrastructure and distributed systems
· 5+ years of experience in data extraction, transformation, statistical analysis and data modeling
· 5+ years of experience developing enterprise software using Java or Python
· 3+ years of experience in applying Data Mining and Machine Learning techniques to solve business problems
· 3+ years of experience using major RDBMS, Hadoop, Spark, Elasticsearch, or similar technologies
· 3+ years of experience with statistical modeling tools such as R, SAS, SciKit-learn, or TensorFlow
· Bachelors degree in Computer Science, Computer Engineering, Machine Learning, or related field or equivalent experience.

Preferred Qualifications

· Masters degree in Computer Science, Computer Engineering, Machine Learning, or related field; PhD a plus
· Deep expertise in Statistics, Machine Learning or related disciplines
· Advanced knowledge in performance, scalability, numerical accuracy, enterprise system architecture, best practices.
· Experience building solutions using AWS big data and machine learning services
· Ability to communicate complex technical concepts and solutions to all levels of the organization",4.2,"Amazon
4.2",Hyderabad,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
Data Scientist,-1,"Job Description – Data Scientist

Location: Chennai or Bengaluru, India


Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman works proactively and collaboratively with its worldwide customers in pulp and paper, leather, and water treatment to deliver exceptional service and innovative specialty chemical solutions to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.

Job Description


Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.

Basic Qualifications
Bachelor’s degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
5+ years of relevant working experience in an analytical role involving data extraction, analysis, and visualization and expertise in the following areas:
Expertise in one or more programming languages R, Python, MATLAB, JMP, Minitab, Java, C++, Scala
Key libraries such as Sklearn, XgBoost, GLMNet, Dplyr, ggplot, Rshiny
Experience and knowledge of data mining algorithms including supervised and unsupervised machine learning techniques areas such as Gradient Boosting, Decision Trees, Multivariate Regressions, Logistic regressions, Neural Network, Random Forest, Support Vector Machine, Naive Bayes, Time Series, Optimization
Microsoft IoT/data science toolkit: Azure Machine Learning, Datalake, Datalake analytics, Workbench, IoT Hub, Stream Analytics, CosmosDB, Time Series Insights, PowerBI
Data querying languages (e.g. SQL, Hadoop/Hive) and Preferred Qualifications
A demonstrated record of success with a verifiable portfolio of problems tackled
Preferred qualifications
Master’s or PhD degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
Experience in the specialty chemicals sector or similar industry
Background in engineering, especially Chemical Engineering
Experience starting up a data science program
Experience working with global stakeholders
Experience working in a start-up environment, preferably in an IoT company
Knowledge in quantitative modeling tools and statistical analysis
Personality Traits
A strong business focus, ownership and inner self-drive to data science solutions to real-world customers with tangible impact.
Ability to collaborate effectively with multi-disciplinary and passionate team members.
Ability to communicate with a diverse set of stakeholders
Strong planning and organization skills, with the ability to manage multiple complex projects
A life-long learner who constantly updates skills",3.5,"Buckman
3.5",Chennai,"Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,₹50 to ₹100 billion (INR),-1
Data Scientist,-1,"Description

SHIFT: Day Job

SCHEDULE: Full-time

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.

Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 7 years of software engineering or related experience.

Qualifications
The
data science team at Oracle Analytics works on diverse data science/ML
problems related to data warehousing such as SLA monitoring and prediction, ensuring
accuracy of ETL data, time series modeling, predicting application metrics and conversational AI(chatbots).

As a member of the Data Science team, you will perform the following tasks
Processing, cleansing and verification of data
Adhoc analysis and visualization using tools such as Python pandas
Develop and deploy machine learning models using scikit-learn, keras, tensorflow, pytorch and Apache Spark/Flink.

Bachelors or Masters degree in Computer science with expertise in data science/machine learning is required. ]]>",3.6,"Oracle
3.6",Bengaluru,"Redwood City, CA",10000+ employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,₹500+ billion (INR),"SAP, Salesforce, Microsoft"
Data Scientist,-1,"Your Day-to-day Will Involve
Leading a team of data scientists in the planning and delivery of analytic projects from start to finish
Providing mentorship, training, and career development to junior members of the team
Presenting strategy proposals, program updates and complex research findings to senior leadership in a clear and compelling manner that influences and inspires action
Using modeling and analytics to understand how business decisions impact our bottom line. This may include assessing risks of new products, determining fraud policies, or identifying inefficiencies in existing operations.
Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to monitor portfolio performance and identify improvement opportunities
Developing hypotheses and set up your own problem frameworks to test for the best solutions. You will also scope the operational feasibility, lead implementation efforts, and monitor the success of your solutions.
Leveraging data analysis tools and technologies. For example, using machine learning to determine how we identify fraud.
Creating new solutions rooted in empathy and research that assist all customers as they work to better manage their finances.
Collaborating in a team environment. As part of our crew, you will learn to energetically rally diverse groups in pursuit of a common goal.
The Ideal Candidate Is
Innovative & Curious - You have the desire and ability to connect and empathize with our customers. You have an entrepreneurial spirit and get excited about creating new businesses and reinventing current ones. You ask why, explore, and bring your unique perspective to the table.
Analytical& Action-Oriented - You are data driven and outcome focused. You grow comfortable with ambiguity, fueled by a hunger to learn and constantly seeking out new challenges. You have a desire to act, try new things, and sometimes fail. You persevere but know when to change course and are up for juggling multiple deliverables.
Collaborative & Team-Oriented- You always keep the people around you in the loop and are excited to communicate complex ideas clearly to make sure your co-workers understand the why behind their work and their key priorities. You help other teams and individuals grow, develop and be successful.
Inclusive- You will empathize with those around you and care about their success, as you bring people together around whats possible.

Basic Qualifications
Bachelors degree or higher in a quantitative field (Business, Math, Economics, Finance, Statistics, Science, Engineering)
At least 5 years of work experience in analysis or consulting
Experience with or willingness to learn data extraction, analysis, and visualization tools such as SQL, R, Python, Tableau

We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors, which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.",3.6,"PayPal
3.6",Bengaluru,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Square, Amazon, Apple"
Data Scientist,-1,NA,3.9,"Accenture
3.9",Mumbai,"Dublin, Ireland",10000+ employees,1989,Company - Public,Consulting,Business Services,₹500+ billion (INR),"Cognizant Technology Solutions, EY, McKinsey & Company"
Data Scientist,-1,"When everything's connected, how we connect is everything… and we'd like to connect with you too! We are looking for you to help us deliver exceptional customer experiences as a Data Scientist.
At TTEC Digital, we combine human insight and the speed of technology to transform our clients’ interactions with their customers. Advanced analytics of the customer experience and customer interactions is our expertise.
Check out our website below to learn more about what we do and how we help our clients.
What you’ll be doing
This person will be a part of our Global Data Science Center focused on helping our clients find and seize opportunities in their markets.

Support the development of consulting products such as proprietary customer experience scores and marketing optimization solutions
Maintain our stellar reputation with our clients and drive >80 client NPS
Leverage a mixture of data science methods such as SVM, neural nets, decision trees, and regression models to deliver proprietary uplift model solutions
Support the introduction and advancement of decision science throughout our contact center engagement
Recommend and introduce new methods where relevant
Resource Planning
Recommend required resources to managers
Align required resources to client schedules
Mentor data engineers and architects on requirements
Develop requirements and technical specifications documents for use by engineers

Delivery
Recommend project timelines to managers
Drive on-time delivery and identify and escalate risks to managers
Support attainment of annual goals for client satisfaction
Deliver your own solutions while collaborating on other projects

What you’ll bring to the role
Masters in Statistics, Economics, IE/OR, Computer Science, Applied Mathematics or related field is required; PhD is a plus
1-5 years' experience delivering advanced analytics solutions since graduate program
Ability to translate client requests into approach statements and project plans
Ability to work in a highly collaborative, team-oriented environment
Ability to identify effective, relevant statistical and/or mathematical methods to solve complex business problems
Expert at data wrangling both structured and unstructured data
Experience delivering solutions using regression modeling or machine learning techniques; experience with both is desired
Expert in developing and implementing predictive analytics solutions in one or more of the following languages: R or Python experience with SAS is desired
Experience delivering solutions using large datasets (multi-Gb or larger)
Experience in MS Office suite of products, especially Excel and Powerpoint
Ability to work within any modern big data environment (AWS, MS Azure, SAP Hana, etc.) is desired
Experience with text analytic or speech analytic is desired.
Experience with one or more modern social listening tools (Crimson Hexagon, TheySay, etc.) is desired
What skills you’ll need:
Excellent analytic and data-driven thinking skills
Strong communication skills and an ability to work successfully in a distributed workforce
Creative problem solving and an understanding of analytics workflows
Strong background in consulting a plus

About TTEC
We help global brands provide a great experience to their customers, build customer loyalty, and grow their business. We were founded on one guiding principle: customer experiences that are simple, inspired, and more human deliver lasting value for everyone. Your role brings that principle to life.",3.4,"TTEC
3.4",Hyderabad,"Englewood, CO",10000+ employees,1982,Company - Public,Staffing & Outsourcing,Business Services,₹100 to ₹500 billion (INR),"Teleperformance, TaskUs, Convergys"
